# RayDrone Convergence Lab
# aperture_ms=149.7, grain=4096, trials=4, focus_s=2.215, sr=44100
# slopes: random=-0.4965, stratified=-0.5291, qmc=-0.5392, importance=-0.5175, reverse=-0.5080
N,random,stratified,qmc,importance,reverse
1,7.403863e-2,8.566494e-2,8.069097e-2,7.321479e-2,8.433757e-2
2,5.619325e-2,5.341313e-2,5.038121e-2,4.438883e-2,5.541402e-2
4,3.554841e-2,3.725694e-2,3.452761e-2,3.694004e-2,4.266816e-2
8,2.605326e-2,2.628269e-2,2.553399e-2,2.489690e-2,2.643379e-2
16,1.810020e-2,1.834790e-2,1.812079e-2,1.840610e-2,1.977274e-2
32,1.379988e-2,1.275828e-2,1.264977e-2,1.303003e-2,1.303566e-2
64,9.781708e-3,9.013659e-3,8.662553e-3,8.641974e-3,9.807262e-3
128,6.487021e-3,5.956763e-3,5.881132e-3,5.832368e-3,6.825023e-3
256,4.691228e-3,4.346060e-3,4.136139e-3,4.237595e-3,4.858365e-3
512,3.388112e-3,3.078558e-3,3.035988e-3,3.032027e-3,3.399709e-3
1024,2.369595e-3,2.139266e-3,1.835908e-3,2.017634e-3,2.298720e-3
2048,1.601105e-3,1.458108e-3,1.294998e-3,1.441552e-3,1.741400e-3
4096,1.261631e-3,9.155727e-4,7.748857e-4,8.900344e-4,1.203266e-3
