# RayDrone Convergence Lab
# aperture_ms=90.7, grain=4096, trials=8, focus_s=2.000, sr=44100
# source: synthetic tone|near-silence boundary (bias demo, paper §5.3 / Fig. 4) — node paper/make_bias_run.mjs
# slopes: random=-0.4581, stratified=-0.9588, qmc=-0.7857, importance=-0.8912, reverse=-0.3883
N,random,stratified,qmc,importance,reverse
1,1.333961e-1,1.295078e-1,3.465439e-2,5.066315e-2,1.074880e-1
2,2.663911e-2,4.349761e-2,7.515048e-2,5.203099e-2,1.142793e-1
4,3.402222e-2,5.784906e-2,5.070327e-2,4.240478e-2,8.344799e-2
8,4.409882e-2,3.994377e-2,4.011916e-2,2.433596e-2,7.150060e-2
16,3.022821e-2,3.610216e-2,3.636137e-2,1.597416e-2,5.085751e-2
32,1.900192e-2,2.195742e-2,2.267218e-2,9.408471e-3,3.443413e-2
64,1.485681e-2,1.763059e-2,8.625543e-3,5.344790e-3,2.767249e-2
128,1.039784e-2,6.674975e-3,4.773512e-3,1.847179e-3,1.502957e-2
256,6.325248e-3,2.893727e-3,3.374531e-3,1.062859e-3,1.166320e-2
512,4.947549e-3,1.150584e-3,1.549683e-3,3.441878e-4,1.161856e-2
1024,3.852772e-3,6.552212e-4,8.207182e-4,1.978829e-4,7.372780e-3
2048,2.961911e-3,3.094590e-4,4.451065e-4,1.184464e-4,5.902910e-3
4096,1.541052e-3,7.531076e-5,2.167011e-4,7.758414e-5,4.612149e-3
8192,1.342006e-3,3.487846e-5,8.170884e-5,3.740908e-5,3.680244e-3
16384,9.212954e-4,1.561287e-5,5.488638e-5,2.358334e-5,3.385881e-3
32768,7.155199e-4,5.542831e-6,2.996803e-5,9.671759e-6,3.216989e-3
